,AEM 2210,AEM 2225,AEM 2240,AEM 2241,AEM 2300,AEM 2770,AEM 3100,AEM 3230,AEM 3370,AEM 4280,AEM 5241,AEP 2550,AEP 3200,AEP 3620,AEP 4200,AEP 4340,AEP 4400,ANSC 2210,ANSC 3400,ASTRO 1102,BEE 2220,BEE 4530,BIOAP 3160,BIOAP 4140,BIOEE 1610,BIOEE 1780,BIOMG 2801,BIOMG 3300,BIOMG 3350,BIOMG 4320,BIOMG 6320,BIOMS 4040,BIONB 2220,BME 2110,BME 3020,BTRY 3020,BTRY 4090,CEE 3230,CHEM 1570,CHEM 2080,CHEM 2090,CHEM 2880,CHEM 3580,CHEM 3590,CHEM 3900,CHEM 4100,CHEME 3230,CHEME 3320,CHEME 3720,CHEME 3900,CHEME 7130,CS 1110,CS 1112,CS 2110,CS 2800,CS 3110,CS 3410,CS 4120,CS 4410,CS 4670,CS 4700,CS 4780,CS 4787,CS 4820,EAS 1700,EAS 3420,EAS 4550,ECE 1210,ECE 2200,ECE 4840,ECE 5745,ECON 1110,ECON 1120,ECON 3810,ENGRD 2020,ENGRD 2100,ENGRD 2700,ENGRD 3200,HADM 1350,HADM 1410,HADM 4300,HADM 4375,ILRST 2110,ILRST 3110,LATIN 1202,LATIN 2203,MAE 2030,MAE 3240,MAE 3260,MAE 4230,MAE 4510,MAE 6510,MATH 1110,MATH 1120,MATH 1340,MATH 1910,MATH 1920,MATH 2130,MATH 2210,MATH 2220,MATH 2930,MATH 2940,MATH 3110,MATH 3340,MATH 3360,MATH 4310,MATH 4740,MSE 2060,MSE 2620,MSE 3050,MSE 4610,MSE 5120,NS 2600,NS 3150,NS 3410,NTRES 1201,ORIE 3120,ORIE 3310,ORIE 3510,ORIE 4600,PAM 2030,PAM 5280,PHIL 3310,PHIL 4300,PHYS 1112,PHYS 1116,PHYS 2208,PHYS 2213,PHYS 2214,PHYS 2217,PHYS 2218,PHYS 3318,PHYS 4443,PSYCH 3420,STSCI 1380,STSCI 2150,BIOMI 2900
AEM 2210,243,0,0,5,0,2,1,0,0,1,0,0,0,0,0,0,0,4,1,6,1,0,0,0,4,4,2,3,2,0,0,1,3,1,1,0,0,2,5,4,1,0,12,0,0,1,0,0,0,0,0,7,3,7,10,12,6,1,4,7,3,8,1,7,4,1,0,0,0,0,0,18,10,1,2,0,5,2,0,0,2,0,0,0,0,0,4,3,3,1,0,0,1,1,0,0,2,0,1,3,6,7,1,1,2,1,1,0,0,0,0,0,1,3,3,0,8,1,0,0,3,0,0,0,3,0,4,2,2,1,0,0,0,0,0,3,6
AEM 2225,0,49,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEM 2240,0,2,264,0,51,8,26,174,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEM 2241,5,0,0,193,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,3,1,0,0,0,0,0,0,2,1,0,0,1,2,3,0,0,0,0,0,1,1,0,2,1,2,0,5,0,1,1,2,3,0,0,3,2,1,1,2,1,0,0,0,0,0,0,8,3,2,0,0,1,0,0,0,7,0,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,5,7,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,3
AEM 2300,0,1,51,1,171,8,9,40,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,12,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
AEM 2770,2,0,8,0,8,34,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AEM 3100,1,2,26,0,9,2,50,25,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEM 3230,0,0,174,5,40,4,25,244,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,2,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AEM 3370,0,0,4,0,0,1,1,1,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEM 4280,1,0,4,0,7,0,4,10,4,110,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AEM 5241,0,0,0,0,4,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,2,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,1,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AEP 2550,0,0,0,0,0,0,0,0,0,0,0,18,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,1,0
AEP 3200,0,0,0,0,0,0,0,0,0,0,0,2,54,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,3,1,5,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,2,8,7,10,11,1,0,0,0,0
AEP 3620,0,0,0,1,0,0,0,0,0,0,0,1,1,29,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP 4200,0,0,0,0,0,0,0,0,0,0,0,2,3,16,32,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
AEP 4340,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP 4400,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANSC 2210,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,20,0,0,0,0,1,2,2,0,5,4,1,0,0,0,0,0,0,0,0,7,9,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,13
ANSC 3400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53,1,0,0,1,1,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,10
ASTRO 1102,6,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,180,0,0,0,0,7,3,0,0,1,1,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,5,1,13,6,5,9,0,8,5,2,3,3,3,4,0,0,0,1,0,0,8,11,1,0,0,1,0,2,2,2,0,1,0,0,2,2,1,0,0,1,0,3,3,3,0,2,0,3,3,0,4,3,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0
BEE 2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BEE 4530,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BIOAP 3160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,37,4,0,2,4,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,5,0,3,0,0,0,0,0,0,2,2
BIOAP 4140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,34,1,0,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1
BIOEE 1610,4,2,7,3,9,2,1,7,1,3,0,0,0,0,0,0,0,2,0,7,2,0,0,1,281,5,5,0,1,0,0,0,0,0,0,6,0,2,10,22,0,0,4,2,0,2,0,0,0,0,0,8,2,10,3,5,3,0,1,1,0,0,1,4,2,1,0,0,0,0,0,31,15,0,0,0,0,2,1,1,1,0,1,0,1,1,2,0,0,0,0,0,13,8,2,1,12,3,3,1,6,3,2,0,0,1,1,0,0,0,0,0,3,0,1,10,1,0,1,0,9,0,0,0,8,0,3,4,1,1,0,0,0,0,0,4,1
BIOEE 1780,4,0,4,1,3,1,0,4,0,0,0,0,0,0,0,0,0,2,2,3,0,0,2,0,5,226,7,3,0,1,0,0,4,0,0,1,1,0,12,36,0,0,32,2,0,2,0,0,0,0,0,6,1,7,2,3,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9,9,0,2,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,5,1,3,5,0,0,0,0,1,0,0,0,2,0,13,1,0,0,0,1,0,0,0,15,1
BIOMG 2801,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,7,167,5,4,8,0,0,5,0,0,2,1,0,13,7,0,0,20,2,0,3,0,0,0,0,0,7,0,5,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,2,0,9,1
BIOMG 3300,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,1,1,1,1,0,3,5,111,0,1,0,0,5,0,4,0,0,0,1,2,0,1,31,0,0,5,0,1,1,1,0,1,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,7,4,0,1,0,0,0,0,0,0,0,1,0,18,2,0,0,1,0,0,0,0,3,5
BIOMG 3350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,1,0,4,0,71,0,0,0,2,1,4,2,0,0,2,1,0,0,15,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,4,1
BIOMG 4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,8,1,0,55,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
BIOMG 6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1
BIOMS 4040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BIONB 2220,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,5,5,2,1,1,0,147,0,1,0,0,0,0,8,0,0,52,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,1,3,2,6,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,1,0,0,0,0,17,4
BME 2110,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,1,0,0,0,19,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
BME 3020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,4,4,0,0,0,1,1,46,6,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BTRY 3020,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,0,2,0,0,0,0,0,6,67,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,1,6,0,5,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,4,5,2,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2
BTRY 4090,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CEE 3230,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,76,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,3,11,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
CHEM 1570,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,17,0,1,0,10,12,13,1,2,0,0,0,0,19,1,3,0,2,216,7,0,0,2,0,0,0,0,0,0,0,0,2,3,8,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,11,0,5,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,8,1,0,1,5,22,0,0,0,0,0,1,0,0,0,1,6,0,12,1,0,0,0,0,0,0,0,0,7,0,5,5,0,0,0,0,0,0,0,19,4
CHEM 2080,4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,22,36,7,2,1,0,0,0,8,6,1,1,1,0,7,645,0,0,5,0,1,0,0,0,0,0,0,37,12,15,4,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,25,9,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,35,22,0,3,38,2,8,1,13,14,0,0,1,0,0,0,0,0,0,0,35,2,8,5,8,1,0,0,3,0,0,0,35,0,11,9,1,0,0,0,0,0,1,45,5
CHEM 2090,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139,0,0,0,0,0,0,0,0,0,0,17,19,18,10,7,4,0,4,2,1,1,0,2,0,0,0,4,1,0,0,5,5,0,10,0,3,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,0,1,0,5,42,0,0,0,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,10,1,1,0,1,0,0,0,0,0
CHEM 2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
